sample_id,run_id,assay_id,read_mode,fastq_1,fastq_2
ITS2_103,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_103_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_103_2.fastq.gz
ITS2_104,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_104_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_104_2.fastq.gz
ITS2_107,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_107_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_107_2.fastq.gz
ITS2_112,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_112_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_112_2.fastq.gz
ITS2_118,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_118_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_118_2.fastq.gz
ITS2_120,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_120_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_120_2.fastq.gz
ITS2_123,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_123_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_123_2.fastq.gz
ITS2_125,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_125_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_125_2.fastq.gz
ITS2_126,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_126_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_126_2.fastq.gz
ITS2_130,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_130_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_130_2.fastq.gz
ITS2_131,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_131_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_131_2.fastq.gz
ITS2_16,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_16_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_16_2.fastq.gz
ITS2_18,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_18_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_18_2.fastq.gz
ITS2_19,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_19_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_19_2.fastq.gz
ITS2_20,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_20_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_20_2.fastq.gz
ITS2_22,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_22_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_22_2.fastq.gz
ITS2_24,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_24_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_24_2.fastq.gz
ITS2_26,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_26_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_26_2.fastq.gz
ITS2_28,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_28_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_28_2.fastq.gz
ITS2_31,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_31_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_31_2.fastq.gz
ITS2_3,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_3_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_3_2.fastq.gz
ITS2_33,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_33_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_33_2.fastq.gz
ITS2_34,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_34_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_34_2.fastq.gz
ITS2_37,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_37_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_37_2.fastq.gz
ITS2_39,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_39_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_39_2.fastq.gz
ITS2_40,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_40_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_40_2.fastq.gz
ITS2_4,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_4_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_4_2.fastq.gz
ITS2_42,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_42_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_42_2.fastq.gz
ITS2_43,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_43_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_43_2.fastq.gz
ITS2_45,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_45_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_45_2.fastq.gz
ITS2_49,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_49_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_49_2.fastq.gz
ITS2_51,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_51_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_51_2.fastq.gz
ITS2_52,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_52_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_52_2.fastq.gz
ITS2_53,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_53_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_53_2.fastq.gz
ITS2_54,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_54_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_54_2.fastq.gz
ITS2_57,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_57_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_57_2.fastq.gz
ITS2_58,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_58_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_58_2.fastq.gz
ITS2_59,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_59_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_59_2.fastq.gz
ITS2_60,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_60_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_60_2.fastq.gz
ITS2_61,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_61_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_61_2.fastq.gz
ITS2_62,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_62_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_62_2.fastq.gz
ITS2_63,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_63_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_63_2.fastq.gz
ITS2_67,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_67_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_67_2.fastq.gz
ITS2_68,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_68_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_68_2.fastq.gz
ITS2_74,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_74_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_74_2.fastq.gz
